"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.845160594E0,9.623932838E0,4.307080805E-2,1.426122308E0
2.854845177E0,9.585647583E0,-4.785645287E-3,1.540977836E0
2.864530073E0,9.590433121E0,9.571290575E-3,1.378265858E0
2.874215021E0,9.614361763E0,0.000000000E0,1.588834286E0
2.883900229E0,9.585647583E0,-4.307080805E-2,3.158525944E0
2.893584031E0,9.427721024E0,4.785645287E-3,2.378465652E0
2.903269292E0,9.714859962E0,-1.100698411E-1,1.694118381E0
2.912955854E0,9.738788605E0,1.818545163E-1,2.301895380E0
2.922640490E0,9.734002113E0,-1.914258115E-2,1.636690736E0
2.932324969E0,9.796216011E0,2.871387079E-2,1.550549030E0
2.942008979E0,9.762716293E0,1.579262912E-1,1.469193101E0
2.951693094E0,9.930213928E0,8.135596663E-2,1.411765337E0
2.961378198E0,9.595218658E0,-1.435693540E-2,1.368694544E0
2.971063979E0,9.714859962E0,-2.823530734E-1,1.239482164E0
2.980749083E0,9.848857880E0,-1.531406492E-1,1.162911773E0
2.990433146E0,9.523433685E0,1.962114573E-1,1.062413216E0
3.000116635E0,9.370293617E0,5.838487148E-1,1.148554921E0
3.009801427E0,9.346364975E0,7.992027402E-1,1.124626637E0
3.019486948E0,9.446864128E0,7.800601721E-1,8.997012973E-1
3.029172000E0,9.614361763E0,7.417750359E-1,7.944171429E-1
3.038857208E0,9.633503914E0,3.062812984E-1,8.135597110E-1
3.048542833E0,9.657432556E0,-1.244267747E-1,7.561319470E-1
3.058227677E0,9.638289452E0,-5.886343718E-1,8.231309652E-1
3.067911844E0,9.681360245E0,-5.264210105E-1,5.790630579E-1
3.077597260E0,9.714859962E0,-3.828516304E-1,5.934200287E-1
3.087282573E0,9.738788605E0,-3.924229145E-1,6.364908218E-1
3.096966948E0,9.743574142E0,-5.072783828E-1,2.057827413E-1
3.106652677E0,9.791430473E0,-2.153540403E-1,3.972085714E-1
3.116337885E0,9.652647018E0,1.866401732E-1,7.896314859E-1
3.126022677E0,9.767501831E0,2.440679073E-1,3.972085714E-1
3.135706688E0,9.695717812E0,3.828516304E-1,2.679961324E-1
3.145390333E0,9.930213928E0,5.024927258E-1,2.297109663E-1
3.155074813E0,9.466006279E0,-2.871387079E-2,-1.100698471E0
3.164760073E0,9.729216576E0,-9.906286001E-1,1.818545222E0
3.174445021E0,9.566504478E0,-6.604190469E-1,-1.483550072E-1
3.184129969E0,9.738788605E0,2.392822690E-2,6.699903309E-2
3.193815802E0,9.734002113E0,4.785645287E-3,9.571290761E-2
3.203501792E0,9.743574142E0,0.000000000E0,6.221338734E-2
3.213186323E0,9.738788605E0,-9.571290575E-3,8.135596663E-2
3.222873146E0,9.734002113E0,-9.571290575E-3,1.052841991E-1
3.232558667E0,9.724431038E0,0.000000000E0,5.742774159E-2
3.242243979E0,9.729216576E0,1.435693540E-2,9.571290761E-2
3.251931167E0,9.724431038E0,-9.571290575E-3,1.004985496E-1
3.261617990E0,9.734002113E0,-4.785645287E-3,7.657032460E-2
3.271303250E0,9.719645500E0,-4.785645287E-3,9.092725813E-2
3.280989344E0,9.743574142E0,4.785645287E-3,7.178468257E-2
3.290674813E0,9.719645500E0,4.785645287E-3,1.196411327E-1
3.300359760E0,9.724431038E0,0.000000000E0,5.742774159E-2
3.310045490E0,9.748359680E0,-9.571290575E-3,5.264209956E-2
3.319731531E0,9.743574142E0,4.785645287E-3,7.178468257E-2
3.329418146E0,9.738788605E0,4.785645287E-3,8.135596663E-2
3.339105281E0,9.729216576E0,0.000000000E0,6.221338734E-2
3.348790802E0,9.734002113E0,9.571290575E-3,7.657032460E-2
3.358477521E0,9.738788605E0,1.435693540E-2,4.785645381E-2
3.368161635E0,9.729216576E0,9.571290575E-3,9.571290761E-2
3.377845385E0,9.729216576E0,9.571290575E-3,1.004985496E-1
3.387530438E0,9.738788605E0,-4.785645287E-3,7.657032460E-2
3.397214292E0,9.738788605E0,1.435693540E-2,1.435693540E-2
3.406899188E0,9.738788605E0,0.000000000E0,9.092725813E-2
3.416583094E0,9.729216576E0,1.435693540E-2,1.004985496E-1
3.426268198E0,9.734002113E0,2.392822690E-2,6.699903309E-2
3.435953354E0,9.710074425E0,1.435693540E-2,8.135596663E-2
3.445639448E0,9.710074425E0,2.871387079E-2,1.148554832E-1
3.455324031E0,9.762716293E0,-2.392822690E-2,1.148554832E-1
3.465008094E0,9.753145218E0,4.785645287E-3,-4.785645287E-3
3.474692885E0,9.753145218E0,1.435693540E-2,5.742774159E-2
3.484378458E0,9.738788605E0,9.571290575E-3,9.092725813E-2
3.494063094E0,9.724431038E0,9.571290575E-3,5.742774159E-2
3.503746844E0,9.738788605E0,-9.571290575E-3,1.100698411E-1
3.513431583E0,9.729216576E0,-1.435693540E-2,1.531406492E-1
3.523118563E0,9.724431038E0,4.785645287E-3,4.307080805E-2
3.532804500E0,9.724431038E0,-4.785645287E-3,6.221338734E-2
3.542489917E0,9.743574142E0,9.571290575E-3,5.742774159E-2
3.552174865E0,9.729216576E0,0.000000000E0,7.657032460E-2
3.561860073E0,9.734002113E0,-9.571290575E-3,7.178468257E-2
3.571545021E0,9.743574142E0,-4.785645287E-3,8.614161611E-2
3.581231167E0,9.729216576E0,9.571290575E-3,1.052841991E-1
